Date,Open,High,Low,Close,Volume,Adj Close
2006-11-20,137.00,139.11,130.00,135.75,288206700,97.93
2006-11-13,134.50,141.50,110.00,137.50,374793500,97.50
2006-11-06,134.75,149.12,113.90,134.50,263268600,95.37
2006-10-30,131.75,136.75,131.75,134.00,377277600,95.01
2006-10-23,129.25,150.00,127.50,134.25,292077500,95.19
2006-10-16,130.75,130.75,121.57,128.50,233229700,91.11
2006-10-09,125.75,140.80,125.25,130.75,286291500,92.71
2006-10-02,121.75,128.06,119.45,126.25,373960300,89.52
2006-09-25,115.00,179.00,114.50,122.25,386168700,86.68
2006-09-18,115.75,117.00,85.50,115.00,337664800,81.54
2006-09-11,115.00,119.40,113.75,116.25,419807800,82.43
2006-09-04,114.75,115.25,111.75,113.50,158469900,80.48
2006-08-28,112.25,115.50,112.25,114.75,200721300,81.37
2006-08-21,110.00,162.78,105.00,112.25,195262200,79.59
2006-08-14,109.75,111.85,108.25,110.00,337988800,78.00
2006-08-07,116.00,116.55,107.50,110.00,318783700,78.00
2006-07-31,119.50,119.50,113.66,117.00,250550300,82.96
2006-07-24,149.60,172.46,130.29,136.29,38281600,110.44
2006-07-17,145.94,149.83,125.83,127.20,000,103.08
2006-07-10,154.74,157.37,127.77,127.77,000,103.54
2006-07-03,151.54,160.34,134.63,135.77,000,110.02
2006-06-26,150.17,153.37,129.14,131.66,000,106.69
2006-06-19,132.11,152.46,130.29,131.20,000,106.32
2006-06-12,156.69,159.54,129.71,130.86,000,106.04
2006-06-05,165.60,168.91,135.20,137.71,000,111.60
2006-05-29,136.80,166.63,136.80,144.91,000,114.21
2006-05-22,158.97,164.46,130.29,136.80,000,107.81
2006-05-15,161.94,169.49,138.86,138.86,000,109.43
2006-05-08,167.20,172.46,117.60,141.49,000,111.51
2006-05-01,148.00,244.23,143.43,146.29,49263000,115.29
2006-04-24,167.54,170.74,144.11,148.00,000,116.64
2006-04-17,146.63,169.14,145.71,146.06,000,115.11
2006-04-10,167.20,278.06,141.14,146.63,56254100,115.56
2006-04-03,158.74,168.46,138.86,143.77,000,113.31
2006-03-27,163.31,166.51,136.57,137.71,000,108.53
2006-03-20,167.54,170.17,143.43,143.43,000,113.04
2006-03-13,167.89,177.71,145.14,147.43,000,116.19
2006-03-06,165.26,169.26,140.00,142.63,000,112.41
2006-02-27,143.66,161.26,124.57,138.86,000,109.43
2006-02-20,161.26,161.49,133.71,133.71,000,105.38
2006-02-13,157.71,165.83,137.14,142.06,000,111.96
2006-02-06,152.46,158.40,132.34,137.49,000,108.35
2006-01-30,158.74,160.34,133.14,133.71,000,105.38
2006-01-23,152.80,169.83,134.63,139.43,93869000,109.88
2006-01-16,165.83,169.83,134.86,134.86,000,106.28
2006-01-09,173.03,174.06,145.71,145.71,000,114.84
2006-01-02,143.43,173.37,143.43,151.43,000,119.34
2005-12-26,141.49,170.17,141.49,143.43,000,113.04
2005-12-19,160.00,163.77,140.00,141.49,000,111.51
2005-12-12,168.46,179.20,141.14,141.14,000,111.24
2005-12-05,160.69,173.03,142.63,146.86,000,115.74
2005-11-28,168.11,168.80,140.34,140.34,000,110.61
2005-11-21,166.17,283.66,144.00,146.29,76237000,115.29
2005-11-14,190.74,284.46,146.06,146.29,167569200,113.53
2005-11-07,194.29,200.80,130.63,166.86,000,129.50
2005-10-31,189.37,198.86,169.49,170.06,000,131.98
2005-10-24,185.83,189.37,146.29,164.00,000,127.28
2005-10-17,192.34,198.51,162.06,162.06,000,125.77
2005-10-10,196.57,199.20,167.77,168.00,34038400,130.39
2005-10-03,192.69,199.20,168.34,171.77,000,133.31
2005-09-26,196.91,197.83,168.57,168.57,000,130.83
2005-09-19,200.80,203.09,167.77,170.86,000,132.60
2005-09-12,195.54,204.46,148.46,176.34,000,136.86
2005-09-05,196.57,198.06,170.86,170.86,000,132.60
2005-08-29,170.63,199.54,94.06,171.43,000,133.05
2005-08-22,202.17,204.11,170.63,170.63,000,132.43
2005-08-15,193.60,202.40,171.43,176.91,000,137.31
2005-08-08,190.06,194.29,167.20,170.06,000,131.98
2005-08-01,191.66,193.37,165.49,165.94,000,128.79
2005-07-25,192.00,278.74,165.94,167.43,110544500,129.94
2005-07-18,186.17,321.26,161.14,164.00,45862100,127.28
2005-07-11,182.86,189.71,161.14,162.63,000,126.22
2005-07-04,178.97,182.51,130.51,159.20,000,123.56
2005-06-27,174.97,181.83,152.57,155.77,000,120.90
2005-06-20,178.29,182.86,154.06,154.06,000,119.57
2005-06-13,177.26,192.69,154.29,156.57,000,121.52
2005-06-06,178.29,181.26,154.86,154.86,000,120.19
2005-05-30,158.06,186.29,155.77,156.00,000,121.07
2005-05-23,189.03,191.66,157.49,158.06,000,121.00
2005-05-16,182.17,260.91,158.86,165.71,21653000,126.86
2005-05-09,182.17,183.09,157.71,160.00,000,122.49
2005-05-02,155.77,182.86,155.77,159.20,000,121.87
2005-04-25,179.31,180.57,154.86,155.77,31311500,119.25
2005-04-18,178.29,181.49,155.43,156.91,000,120.12
2005-04-11,184.11,185.94,156.69,157.14,000,120.30
2005-04-04,183.54,193.03,160.57,161.71,000,123.80
2005-03-28,163.77,187.77,160.57,160.91,000,123.19
2005-03-21,180.23,188.46,159.77,163.77,000,125.37
2005-03-14,181.60,187.09,157.49,158.06,000,121.00
2005-03-07,183.89,260.00,138.40,159.43,56925300,122.05
2005-02-28,180.57,184.23,155.77,161.14,000,123.36
2005-02-21,183.54,184.80,156.91,157.14,000,120.30
2005-02-14,182.86,185.94,160.00,160.91,000,123.19
2005-02-07,181.60,184.46,158.63,160.00,000,122.49
2005-01-31,179.54,182.86,155.20,158.29,29084400,121.18
2005-01-24,180.23,188.11,138.29,156.57,000,119.86
2005-01-17,181.83,189.37,156.91,158.29,000,121.18
2005-01-10,189.37,190.40,159.20,159.20,000,121.87
2005-01-03,161.49,189.03,161.49,165.14,000,126.42
